go_acc	go_domain
GO:0001594	molecular_function
GO:0001595	molecular_function
GO:0001596	molecular_function
GO:0001601	molecular_function
GO:0001602	molecular_function
GO:0001604	molecular_function
GO:0001605	molecular_function
GO:0001607	molecular_function
GO:0001609	molecular_function
GO:0001614	molecular_function
GO:0001616	molecular_function
GO:0001618	molecular_function
GO:0001621	molecular_function
GO:0001626	molecular_function
GO:0001632	molecular_function
GO:0001635	molecular_function
GO:0001640	molecular_function
GO:0001641	molecular_function
GO:0001642	molecular_function
GO:0001649	biological_process
GO:0001650	cellular_component
GO:0001651	cellular_component
GO:0001652	cellular_component
GO:0001653	molecular_function
GO:0001654	biological_process
GO:0001655	biological_process
GO:0001656	biological_process
GO:0001657	biological_process
GO:0001658	biological_process
GO:0001659	biological_process
GO:0001660	biological_process
GO:0001661	biological_process
GO:0001662	biological_process
GO:0001664	molecular_function
GO:0001665	molecular_function
GO:0001666	biological_process
GO:0001667	biological_process
GO:0001669	cellular_component
GO:0001671	molecular_function
GO:0001672	biological_process
GO:0001673	cellular_component
GO:0001674	cellular_component
GO:0001675	biological_process
GO:0001676	biological_process
GO:0001678	biological_process
GO:0001680	biological_process
GO:0001681	molecular_function
GO:0001682	biological_process
GO:0001691	molecular_function
GO:0001692	biological_process
GO:0001694	biological_process
GO:0001695	biological_process
GO:0001696	biological_process
GO:0001697	biological_process
GO:0001698	biological_process
GO:0001701	biological_process
GO:0001702	biological_process
GO:0001704	biological_process
GO:0001705	biological_process
GO:0001706	biological_process
GO:0001707	biological_process
GO:0001708	biological_process
GO:0001709	biological_process
GO:0001710	biological_process
GO:0001711	biological_process
GO:0001712	biological_process
GO:0001714	biological_process
GO:0001716	molecular_function
GO:0001725	cellular_component
GO:0001726	cellular_component
GO:0001727	molecular_function
GO:0001729	molecular_function
GO:0001730	molecular_function
GO:0001731	biological_process
GO:0001732	biological_process
GO:0001733	molecular_function
GO:0001734	molecular_function
GO:0001735	molecular_function
GO:0001736	biological_process
GO:0001738	biological_process
GO:0001739	cellular_component
GO:0001740	cellular_component
GO:0001741	cellular_component
GO:0001750	cellular_component
GO:0001754	biological_process
GO:0001755	biological_process
GO:0001756	biological_process
GO:0001757	biological_process
GO:0001758	molecular_function
GO:0001759	biological_process
GO:0001760	molecular_function
GO:0001763	biological_process
GO:0001764	biological_process
GO:0001765	biological_process
GO:0001766	biological_process
GO:0001768	biological_process
GO:0001770	biological_process
GO:0001771	biological_process
GO:0001772	cellular_component
GO:0001773	biological_process
GO:0001774	biological_process
GO:0001775	biological_process
GO:0001776	biological_process
GO:0001777	biological_process
GO:0001778	biological_process
GO:0001779	biological_process
GO:0001780	biological_process
GO:0001781	biological_process
GO:0001782	biological_process
GO:0001783	biological_process
GO:0001784	molecular_function
GO:0001785	molecular_function
GO:0001786	molecular_function
GO:0001787	biological_process
GO:0001791	molecular_function
GO:0001792	molecular_function
GO:0001798	biological_process
GO:0001805	biological_process
GO:0001806	biological_process
GO:0001808	biological_process
GO:0001809	biological_process
GO:0001811	biological_process
GO:0001812	biological_process
GO:0001814	biological_process
GO:0001815	biological_process
GO:0001816	biological_process
GO:0001817	biological_process
GO:0001818	biological_process
GO:0001819	biological_process
GO:0001820	biological_process
GO:0001821	biological_process
GO:0001822	biological_process
GO:0001823	biological_process
GO:0001824	biological_process
GO:0001825	biological_process
GO:0001826	biological_process
GO:0001827	biological_process
GO:0001828	biological_process
GO:0001829	biological_process
GO:0001831	biological_process
GO:0001832	biological_process
GO:0001833	biological_process
GO:0001834	biological_process
GO:0001835	biological_process
GO:0001836	biological_process
GO:0001837	biological_process
GO:0001838	biological_process
GO:0001839	biological_process
GO:0001840	biological_process
GO:0001841	biological_process
GO:0001842	biological_process
GO:0001843	biological_process
GO:0001844	biological_process
GO:0001845	biological_process
GO:0001846	molecular_function
GO:0001847	molecular_function
GO:0001848	molecular_function
GO:0001849	molecular_function
GO:0001850	molecular_function
GO:0001851	molecular_function
GO:0001855	molecular_function
GO:0001856	molecular_function
GO:0001861	molecular_function
GO:0001865	biological_process
GO:0001866	biological_process
GO:0001867	biological_process
GO:0001869	biological_process
GO:0001872	molecular_function
GO:0001875	molecular_function
GO:0001878	biological_process
GO:0001880	biological_process
GO:0001881	biological_process
GO:0001882	molecular_function
GO:0001883	molecular_function
GO:0001885	biological_process
GO:0001886	biological_process
GO:0001887	biological_process
GO:0001888	molecular_function
GO:0001889	biological_process
GO:0001890	biological_process
GO:0001891	cellular_component
GO:0001892	biological_process
GO:0001893	biological_process
GO:0001894	biological_process
GO:0001895	biological_process
GO:0001899	biological_process
GO:0001906	biological_process
GO:0001909	biological_process
GO:0001910	biological_process
GO:0001912	biological_process
GO:0001913	biological_process
GO:0001914	biological_process
GO:0001915	biological_process
GO:0001916	biological_process
GO:0001917	cellular_component
GO:0001918	molecular_function
GO:0001919	biological_process
GO:0001920	biological_process
GO:0001921	biological_process
GO:0001922	biological_process
GO:0001923	biological_process
GO:0001928	biological_process
GO:0001931	cellular_component
GO:0001932	biological_process
GO:0001933	biological_process
GO:0001934	biological_process
GO:0001935	biological_process
GO:0001936	biological_process
GO:0001937	biological_process
GO:0001938	biological_process
GO:0001939	cellular_component
GO:0001940	cellular_component
GO:0001941	biological_process
GO:0001942	biological_process
GO:0001944	biological_process
GO:0001945	biological_process
GO:0001946	biological_process
GO:0001947	biological_process
GO:0001949	biological_process
GO:0001951	biological_process
GO:0001952	biological_process
GO:0001953	biological_process
GO:0001954	biological_process
GO:0001955	biological_process
GO:0001956	biological_process
GO:0001957	biological_process
GO:0001958	biological_process
GO:0001959	biological_process
GO:0001960	biological_process
GO:0001961	biological_process
GO:0001963	biological_process
GO:0001964	biological_process
GO:0001965	molecular_function
GO:0001966	biological_process
GO:0001967	biological_process
GO:0001968	molecular_function
GO:0001970	biological_process
GO:0001971	biological_process
GO:0001972	molecular_function
GO:0001973	biological_process
GO:0001974	biological_process
GO:0001975	biological_process
GO:0001976	biological_process
GO:0001980	biological_process
GO:0001985	biological_process
GO:0001991	biological_process
GO:0001992	biological_process
GO:0001993	biological_process
GO:0001994	biological_process
GO:0001996	biological_process
GO:0001997	biological_process
GO:0001998	biological_process
GO:0002001	biological_process
GO:0002002	biological_process
GO:0002003	biological_process
GO:0002009	biological_process
GO:0002011	biological_process
GO:0002016	biological_process
GO:0002017	biological_process
GO:0002018	biological_process
GO:0002019	biological_process
GO:0002020	molecular_function
GO:0002021	biological_process
GO:0002023	biological_process
GO:0002024	biological_process
GO:0002025	biological_process
GO:0002026	biological_process
GO:0002027	biological_process
GO:0002028	biological_process
GO:0002029	biological_process
GO:0002031	biological_process
GO:0002032	biological_process
GO:0002033	biological_process
GO:0002034	biological_process
GO:0002035	biological_process
GO:0002037	biological_process
GO:0002038	biological_process
GO:0002039	molecular_function
GO:0002040	biological_process
GO:0002041	biological_process
GO:0002042	biological_process
GO:0002043	biological_process
GO:0002046	molecular_function
GO:0002051	biological_process
GO:0002052	biological_process
GO:0002053	biological_process
GO:0002055	molecular_function
GO:0002058	molecular_function
GO:0002059	molecular_function
GO:0002060	molecular_function
GO:0002062	biological_process
